,m,group,time
2132715,11.838735832313313,diet: standard,0.67
2132824,14.180600951468971,diet: standard,3.0
2132721,12.427818387084628,diet: standard,1.17
2132935,15.027553112836545,diet: standard,30.0
2132748,13.705656968555298,diet: standard,20.0
2132754,12.74599772853232,diet: Calorie Restricted,21.0
2132846,16.41971204024482,diet: standard,6.0
2132850,13.98072495650447,diet: standard,8.0
2132884,14.158991692005632,diet: standard,20.0
2132752,13.278569893434396,diet: standard,27.0
2132897,14.025813610076137,diet: standard,22.0
2132957,14.956357006160633,diet: standard,35.0
2132939,14.955265463469695,diet: standard,32.0
2132912,14.61500633326194,diet: standard,26.0
2132904,14.217129758103429,diet: standard,24.0
2132837,13.519823204213935,diet: standard,4.0
2132881,14.312503130240438,diet: standard,16.0
2132947,14.197593562115063,diet: standard,34.0
2132741,12.284404307593771,diet: Calorie Restricted,27.0
2132724,12.929445725896931,diet: Calorie Restricted,10.0
2132841,13.710537664818489,diet: standard,6.0
2132761,12.93807297360174,diet: Calorie Restricted,27.0
2132839,13.456815298650792,diet: standard,6.0
2132862,12.358100027266442,diet: standard,10.0
2132952,14.38866049196368,diet: standard,34.0
2132867,13.684284502840486,diet: standard,12.0
2132827,13.785810739267149,diet: standard,3.0
2132890,14.074191272031925,diet: standard,20.0
2132880,13.10290978960137,diet: standard,16.0
2132870,13.676717518373561,diet: standard,12.0
2132888,14.614222131851967,diet: standard,20.0
2132871,13.575981342557927,diet: standard,12.0
2132714,12.530141933181529,diet: standard,0.67
2132876,14.282707964819998,diet: standard,16.0
2132937,13.763665192174416,diet: standard,30.0
2132927,16.27974540057159,diet: standard,28.0
2132845,14.041859830429585,diet: standard,6.0
2132836,14.003359036827817,diet: standard,4.0
2132955,14.149752029198224,diet: standard,35.0
2132758,12.753190741157228,diet: Calorie Restricted,21.0
2132736,12.91598578977008,diet: Calorie Restricted,23.0
2132734,13.157163331876587,diet: Calorie Restricted,23.0
2132833,15.060246714519522,diet: standard,4.0
2132877,13.778153483538114,diet: standard,16.0
2132740,13.128018539430897,diet: Calorie Restricted,27.0
2132930,15.20127990371352,diet: standard,30.0
2132894,16.93139689676613,diet: standard,22.0
2132717,12.017883986728998,diet: standard,0.67
2132909,14.611923519076145,diet: standard,24.0
2132753,14.269165494038923,diet: standard,27.0
2132906,14.124758702893644,diet: standard,24.0
2132887,14.607850181204977,diet: standard,20.0
2132733,13.269111274234598,diet: Calorie Restricted,18.0
2132857,14.202473580899667,diet: standard,10.0
2132742,12.97103355407395,diet: Calorie Restricted,27.0
2132712,11.892874112884952,diet: standard,0.67
2132723,12.323844299943309,diet: standard,1.17
2132896,13.63725636932525,diet: standard,22.0
2132763,13.100091120121142,diet: Calorie Restricted,27.0
2132822,13.828656869424071,diet: standard,3.0
2132903,14.819578609776634,diet: standard,24.0
2132830,13.407493620039585,diet: standard,4.0
2132948,14.867469852772786,diet: standard,34.0
2132730,12.840999355616129,diet: Calorie Restricted,18.0
2132925,15.625725588389693,diet: standard,28.0
2132863,14.891841383610883,diet: standard,10.0
2132934,14.771097883576937,diet: standard,30.0
2132940,14.182267342775019,diet: standard,32.0
2132865,14.093071159196583,diet: standard,12.0
2132821,16.387379290633195,diet: standard,3.0
2132746,13.083434199054077,diet: standard,20.0
2132956,14.583756806309232,diet: standard,35.0
2132922,14.504894279980014,diet: standard,28.0
2132751,13.124598125084264,diet: standard,27.0
2132848,14.969556745512884,diet: standard,8.0
2132905,14.399881223271139,diet: standard,24.0
2132854,13.379195995363405,diet: standard,8.0
2132737,12.828742504451458,diet: Calorie Restricted,23.0
2132716,11.887822415574082,diet: standard,0.67
2132913,14.543718897836788,diet: standard,26.0
2132910,15.109656066206481,diet: standard,24.0
2132958,15.755149480366537,diet: standard,35.0
2132960,16.24948848767311,diet: standard,35.0
2132944,14.775686272582833,diet: standard,32.0
2132861,14.209500800601663,diet: standard,10.0
2132882,14.089698975397228,diet: standard,16.0
2132855,13.506833948452211,diet: standard,8.0
2132731,13.249868106251972,diet: Calorie Restricted,18.0
2132727,12.487935524146497,diet: Calorie Restricted,10.0
2132954,16.52616320567969,diet: standard,34.0
2132895,13.155625990384529,diet: standard,22.0
2132908,14.33829019620857,diet: standard,24.0
2132942,14.324757232363327,diet: standard,32.0
2132872,13.529341430960628,diet: standard,12.0
2132823,12.695713349708873,diet: standard,3.0
2132889,13.499404006158127,diet: standard,20.0
2132920,13.570350256212663,diet: standard,26.0
2132959,21.097983373862366,diet: standard,35.0
2132832,13.305061413000434,diet: standard,4.0
2132747,13.280674146521541,diet: standard,20.0
2132853,13.490660048337011,diet: standard,8.0
2132926,15.273996118541174,diet: standard,28.0
2132826,13.60131183823749,diet: standard,3.0
2132719,12.38144984037299,diet: standard,1.17
2132762,12.959534059802053,diet: Calorie Restricted,27.0
2132900,13.348228668886811,diet: standard,22.0
2132720,12.699467626532964,diet: standard,1.17
2132864,15.213761723217447,diet: standard,10.0
2132718,12.554130809126896,diet: standard,1.17
2132924,17.033860502117324,diet: standard,28.0
2132914,14.56231890553191,diet: standard,26.0
2132728,12.922539442966904,diet: Calorie Restricted,10.0
2132838,13.639290749369243,diet: standard,6.0
2132760,12.88111498885725,diet: Calorie Restricted,21.0
2132847,13.446050535349455,diet: standard,8.0
2132764,13.039239221880699,diet: Calorie Restricted,27.0
2132891,14.328450070763521,diet: standard,20.0
2132898,13.808556354087527,diet: standard,22.0
2132945,14.479770223573954,diet: standard,32.0
2132750,13.201639751802764,diet: standard,27.0
2132765,12.928285730447984,diet: Calorie Restricted,27.0
2132923,14.678145342533405,diet: standard,28.0
2132928,14.159369099409851,diet: standard,28.0
2132849,13.86733197709163,diet: standard,8.0
2132893,14.17268264750522,diet: standard,22.0
2132911,15.291852958564949,diet: standard,26.0
2132828,14.984127066302706,diet: standard,3.0
2132749,13.499858073995554,diet: standard,27.0
2132936,15.376953239845673,diet: standard,30.0
2132950,14.97444642528827,diet: standard,34.0
2132739,12.940240927314697,diet: Calorie Restricted,27.0
2132918,15.447506589551779,diet: standard,26.0
2132825,13.610476695218908,diet: standard,3.0
2132901,13.975166650121295,diet: standard,22.0
2132759,12.901696977039583,diet: Calorie Restricted,21.0
2132755,12.147436321944586,diet: Calorie Restricted,21.0
2132835,13.171721102371192,diet: standard,4.0
2132916,14.128213463824874,diet: standard,26.0
2132732,12.417389220023773,diet: Calorie Restricted,18.0
2132843,13.814444130135335,diet: standard,6.0
2132874,14.159115166145797,diet: standard,12.0
2132725,12.391060620977516,diet: Calorie Restricted,10.0
2132921,13.59099263693927,diet: standard,28.0
2132868,12.927905345942243,diet: standard,12.0
2132902,15.53641523721215,diet: standard,24.0
2132858,14.295344221004136,diet: standard,10.0
2132738,13.171763734809678,diet: Calorie Restricted,23.0
2132834,13.311309726126124,diet: standard,4.0
2132735,12.920555598151454,diet: Calorie Restricted,23.0
2132883,15.250491492925985,diet: standard,16.0
2132875,13.839229099761386,diet: standard,16.0
2132907,14.418921225322128,diet: standard,24.0
2132953,15.175701447014232,diet: standard,34.0
2132869,13.810746334292144,diet: standard,12.0
2132713,11.264156264379373,diet: standard,0.67
2132756,12.897079703905098,diet: Calorie Restricted,21.0
2132873,13.718092126192982,diet: standard,12.0
2132892,14.618643927715468,diet: standard,20.0
2132820,13.692339710211916,diet: standard,3.0
2132899,13.769464992256943,diet: standard,22.0
2132919,14.35609629759254,diet: standard,26.0
2132745,13.22660119424162,diet: standard,20.0
2132933,15.047678178892172,diet: standard,30.0
2132878,13.906012368444493,diet: standard,16.0
2132943,18.031782997371447,diet: standard,32.0
2132929,14.386551027086245,diet: standard,28.0
2132932,13.609825508858258,diet: standard,30.0
2132859,16.64934129896807,diet: standard,10.0
2132722,12.44756051404466,diet: standard,1.17
2132852,13.71896870979322,diet: standard,8.0
2132879,13.17037871098885,diet: standard,16.0
2132931,13.655889871123483,diet: standard,30.0
2132885,13.683955341253025,diet: standard,20.0
2132946,16.042921538345176,diet: standard,34.0
2132941,17.852681105575073,diet: standard,32.0
2132743,12.585508024258074,diet: Calorie Restricted,27.0
2132726,12.890878978485498,diet: Calorie Restricted,10.0
2132915,14.600089490531492,diet: standard,26.0
2132744,13.11350683864814,diet: standard,20.0
2132917,14.276794501126703,diet: standard,26.0
2132829,13.33894692841941,diet: standard,4.0
2132886,13.80099322568392,diet: standard,20.0
2132844,14.515516021411592,diet: standard,6.0
2132842,12.688513234698316,diet: standard,6.0
2132757,12.781294700434435,diet: Calorie Restricted,21.0
2132729,12.82037293768282,diet: Calorie Restricted,18.0
2132851,12.851489657614525,diet: standard,8.0
2132951,23.896275962406317,diet: standard,34.0
2132866,13.177504746626829,diet: standard,12.0
2132949,13.623944247911124,diet: standard,34.0
2132856,14.460090808389744,diet: standard,10.0
