Probe,chrom,chromStart,chromEnd,s,v,d,tss,g
MIR1302,1,27054,32054,+,0.5240107,5000,29554,1000029554
FAM138A,1,33581,38581,-,-0.5420785,5000,36081,1000036081
OR4F5,1,66591,71591,+,-2.1497612,5000,69091,1000069091
RP11-34P13.8,1,88605,93605,-,-2.0185165,5000,91105,1000091105
RP11-34P13.7,1,118432,123432,-,-1.1497611,5000,120932,1000120932
RP11-34P13.14,1,137839,142839,-,-1.8982222,5000,140339,1000140339
RP11-34P13.9,1,157946,162946,+,-1.0826468,5000,160446,1000160446
RP11-34P13.13,1,171362,176362,-,-0.814158,5000,173862,1000173862
AP006222.2,1,295002,300002,-,-1.6351879,5000,297502,1000297502
RP4-669L17.2,1,356372,361372,+,-1.3721535,5000,358872,1000358872
RP5-857K21.15,1,357181,362181,-,-1.4127955,5000,359681,1000359681
OR4F29,1,449178,454178,-,-0.95711595,5000,451678,1000451678
RP4-669L17.,1,496675,501675,-,-0.6351879,5000,499175,1000499175
RP5-857K21.2,1,585168,590168,+,-2.0185165,5000,587668,1000587668
RP5-857K21.,1,585953,590953,-,-1.8982222,5000,588453,1000588453
RP5-857K21.3,1,592717,597717,-,-2.1497612,5000,595217,1000595217
RP5-857K21.5,1,626510,631510,-,3.6051264,5000,629010,1000629010
OR4F16,1,684154,689154,-,-0.7607187,5000,686654,1000686654
RP5-857K21.4,1,717700,722700,-,-0.7607187,5000,720200,1000720200
RP11-206L10.3,1,747516,752516,-,-1.3326252,5000,750016,1000750016
RP11-206L10.4,1,758411,763411,+,-1.0185165,5000,760911,1000760911
RP11-206L10.5,1,762425,767425,-,-1.0502254,5000,764925,1000764925
RP11-206L10.2,1,776126,781126,-,-0.51971066,5000,778626,1000778626
RP11-206L10.9,1,776556,781556,+,-0.45461562,5000,779056,1000779056
FAM87B,1,814871,819871,+,-1.7347237,5000,817371,1000817371
LINC00115,1,825022,830022,-,-0.23829775,5000,827522,1000827522
LINC01128,1,825108,830108,+,-0.2566763,5000,827608,1000827608
FAM41C,1,874403,879403,-,-1.4127955,5000,876903,1000876903
